allele1,allele2,direction,n_continents,or_cmh,log2_or,p_one_sided,qval,score
A18G2R1-IIa,A19G2R1-IIa,co-occur,1,124.57142857142856,6.960829402719322,1e-10,6.450000000000001e-09,10.0
A19G1-IId,A20G1-IId,exclusive,1,0.0035803795202291448,-8.125671763392587,1e-10,6.450000000000001e-09,-10.0
A15G2R1-IIa,A17G2R1-IIa,exclusive,2,0.15656205658143243,-2.675193482606977,1.0029390410060124e-05,0.0004312637876325853,-4.998725462751516
A15G2R1-IIa,A15G2R2-IIa,exclusive,1,0.12149532710280374,-3.0410272682600548,1.5670410985324512e-05,0.00045419386244420766,-4.804919613211182
A15G2R1-IIa,A16G3R1-IIa,exclusive,2,0.07804657658027682,-3.679520838275916,1.7604413273031305e-05,0.00045419386244420766,-4.75437844469383
A15G2R1-IIa,A17G1R1-IIa,exclusive,1,0.031127679403541473,-5.005658163169832,0.00033311113392786584,0.007161889379449116,-3.4774108511796618
A15G2R1-IIa,A19G2R1-IIa,exclusive,1,0.04230844219146032,-4.562910623532838,0.0022746594977207657,0.04063738002461394,-2.643083605305163
A15G1R1-IIa,A5G3-IIc,exclusive,1,0.01928374655647383,-5.696470815938147,0.0025201475984256705,0.04063738002461394,-2.5985740229864516
A16G2R1-IIa,A17G2R1-IIa,co-occur,2,7.334197538987957,2.874639124064351,0.004462719907037338,0.06396565200086851,2.3504003698579576
A15G2R1-IIa,A16G1R1-IIa,exclusive,1,0.05427286356821589,-4.203625158988742,0.007697256880401682,0.0992946137571817,-2.113664019497508
A15G2R1-IIa,A18G3R1-IIa,exclusive,2,0.10364680729239634,-3.2702524181348602,0.008899019887036008,0.104361233220695,-2.0506578226912007
A15G2R1-IIa,A18G2R1-IIa,exclusive,2,0.11654497394250275,-3.1010413059896704,0.016269658480688065,0.1748988286673967,-1.7886215633206293
A15G2R1-IIa,A5G3-IIc,exclusive,2,0.11975735226848887,-3.0618138647657314,0.01938158449443239,0.19232495382936757,-1.712610721141841
A15G1R1-IIa,A20G1-IId,exclusive,1,0.047619047619047616,-4.392317422778761,0.03516286760560955,0.324000708651688,-1.4539157145280373
A15G2R2-IIa,A17G2R1-IIa,exclusive,1,0.1737773152965661,-2.524688328299698,0.052433067419346224,0.4192762215054601,-1.280394734612652
A13G2R1-IIa,A15G2R1-IIa,exclusive,1,0.10132625994694959,-3.302919980120278,0.06709489671989066,0.4192762215054601,-1.1733105112866942
A15G2R1-IIa,A19G1R1-IIa,exclusive,1,0.10132625994694959,-3.302919980120278,0.06709489671989066,0.4192762215054601,-1.1733105112866942
A16G1R1-IIa,A16G3R1-IIa,co-occur,1,3.675,1.877744249949002,0.0839048661968732,0.4192762215054601,1.076212850837989
A19G1R1-IIa,A20G1R1-IIa,co-occur,1,16.5,4.044394119358453,0.10442892655937147,0.4192762215054601,0.9811791861513458
A15G2R1-IIa,A16G2R1-IIa,exclusive,2,0.39221364221364224,-1.3502883777874979,0.20257725329358828,0.4192762215054601,-0.6934093216790055
A16G3R1-IIa,A17G1R1-IIa,exclusive,1,0.20087655222790357,-2.3156189228458777,0.2039005530678631,0.4192762215054601,-0.690581596222864
A15G2R1-IIa,A16G3R2-IIa,exclusive,1,0.26136363636363635,-1.9358696625802845,0.20486272304261094,0.4192762215054601,-0.688537058922883
A16G1R1-IIa,A19G1R1-IIa,co-occur,1,1.0468227424749164,0.06601717273451325,0.2325188705862623,0.4192762215054601,0.6335417952087912
A13G2R1-IIa,A16G1R1-IIa,co-occur,1,1.0468227424749164,0.06601717273451325,0.2325188705862623,0.4192762215054601,0.6335417952087912
A16G1R1-IIa,A5G3-IIc,co-occur,1,1.0468227424749164,0.06601717273451325,0.2325188705862623,0.4192762215054601,0.6335417952087912
A17G1-IId,A17G1R1-IIa,co-occur,1,1.1776061776061777,0.23585714476369485,0.24069195277768995,0.4192762215054601,0.6185384295532474
A16G3R1-IIa,A22G1-IId,co-occur,1,1.1776061776061777,0.23585714476369485,0.24069195277768995,0.4192762215054601,0.6185384295532474
A16G3R1-IIa,A17G1-IId,co-occur,1,1.1776061776061777,0.23585714476369485,0.24069195277768995,0.4192762215054601,0.6185384295532474
A17G1R1-IIa,A18G3R1-IIa,co-occur,1,1.1776061776061777,0.23585714476369485,0.24069195277768995,0.4192762215054601,0.6185384295532474
A16G2R1-IIa,A17G1R1-IIa,co-occur,1,1.1776061776061777,0.23585714476369485,0.24069195277768995,0.4192762215054601,0.6185384295532474
A17G1R1-IIa,A22G1-IId,co-occur,1,1.1776061776061777,0.23585714476369485,0.24069195277768995,0.4192762215054601,0.6185384295532474
A17G1R1-IIa,A20G1R1-IIa,co-occur,1,1.1776061776061777,0.23585714476369485,0.24069195277768995,0.4192762215054601,0.6185384295532474
A15G2R1-IIa,A22G1-IId,exclusive,1,0.19408866995073892,-2.3652121926161622,0.24702993906110032,0.4192762215054601,-0.6072504087602562
A15G2R1-IIa,A17G1-IId,exclusive,1,0.19408866995073892,-2.3652121926161622,0.24702993906110032,0.4192762215054601,-0.6072504087602562
A18G3R1-IIa,A19G2R1-IIa,co-occur,1,1.2318840579710144,0.3008664793595326,0.251167477180251,0.4192762215054601,0.6000365966051396
A17G1R1-IIa,A18G2R1-IIa,exclusive,1,0.9099099099099099,-0.13620438359831116,0.25307695245812784,0.4192762215054601,-0.5967474039370368
A16G1R1-IIa,A17G2R1-IIa,exclusive,1,0.9014492753623188,-0.14968178153492895,0.25958178755345307,0.4192762215054601,-0.5857257812187455
